# 558f5b70-e1a4-4eb3-87df-261eead726fd
# 447dd4e522d5f650aade7d90cbcf15a5d2ed6878
# x_m,y_m,vx_mps,s_m,psi_rad,kappa_radpm,ax_mps2
16.1969218,8.6366726,7.0000000,14.1786967,0.0680392,-0.0061763,0.0000000
16.1834687,8.8357330,7.0000000,14.3783967,0.0669784,-0.0044656,0.0000000
16.1701663,9.0352091,7.0000000,14.5780966,0.0662540,-0.0027391,0.0000000
16.1569847,9.2344359,7.0000000,14.7777966,0.0659670,-0.0001388,0.0000000
16.1438030,9.4337485,7.0000000,14.9774965,0.0661983,0.0024550,0.0000000
16.1305179,9.6331445,7.0000000,15.1771965,0.0669443,0.0050150,0.0000000
16.1170513,9.8322561,7.0000000,15.3768964,0.0682033,0.0076104,0.0000000
16.1032508,10.0318008,7.0000000,15.5765964,0.0699818,0.0101835,0.0000000
16.0890882,10.2307027,7.0000000,15.7762963,0.0722750,0.0128335,0.0000000
16.0743591,10.4303335,7.0000000,15.9759963,0.0751100,0.0155072,0.0000000
16.0590821,10.6290010,7.0000000,16.1756963,0.0784753,0.0182964,0.0000000
16.0429922,10.8286938,7.0000000,16.3753962,0.0824164,0.0210683,0.0000000
16.0261695,11.0270461,7.0000000,16.5750962,0.0869006,0.0240233,0.0000000
16.0082638,11.2266994,7.0000000,16.7747961,0.0921314,0.0282492,0.0000000
15.9893816,11.4246797,7.0000000,16.9744961,0.0981900,0.0327166,0.0000000
15.9690685,11.6241156,7.0000000,17.1741960,0.1048484,0.0337039,0.0000000
15.9475668,11.8219981,7.0000000,17.3738960,0.1116509,0.0346392,0.0000000
15.9245490,12.0210035,7.0000000,17.5735959,0.1186874,0.0356288,0.0000000
15.9002471,12.2187638,7.0000000,17.7732959,0.1258904,0.0365007,0.0000000
15.8743880,12.4172682,7.0000000,17.9729958,0.1331870,0.0364055,0.0000000
15.8471858,12.6148522,7.0000000,18.1726958,0.1404279,0.0359186,0.0000000
15.8185049,12.8126855,7.0000000,18.3723957,0.1474701,0.0345327,0.0000000
15.7884814,13.0101757,7.0000000,18.5720957,0.1542136,0.0328399,0.0000000
15.7572138,13.2071556,7.0000000,18.7717956,0.1605613,0.0307955,-0.0712438
15.7246135,13.4046521,6.9979672,18.9714956,0.1665981,0.0298561,-7.5197479
15.6910727,13.6005756,6.7799822,19.1711956,0.1724853,0.0293768,-7.5709992
15.6560614,13.7981664,6.5531902,19.3708955,0.1781872,0.0273727,-7.6852846
15.6202326,13.9941268,6.3146497,19.5705955,0.1834054,0.0245561,-7.8201135
15.5833235,14.1905896,6.0622972,19.7702954,0.1878410,0.0197392,-8.0006895
15.5456421,14.3868297,5.7927518,19.9699954,0.1915988,0.0200329,-7.8785324
15.5073585,14.5819728,5.5144617,20.1696953,0.1959785,0.0240479,-6.7218564
15.4676026,14.7783775,5.2654135,20.3693953,0.2048912,0.0661549,-5.6970753
15.4254472,14.9733148,5.0447168,20.5690952,0.2225325,0.1105446,-4.8109257
15.3790006,15.1672751,4.8505345,20.7687952,0.2490423,0.1555991,-4.2008326
15.3264615,15.3601494,4.6743847,20.9684951,0.2841022,0.1939294,-3.7507639
15.2666496,15.5503621,4.5112989,21.1681951,0.3263920,0.2288425,-3.4807094
15.1981560,15.7378660,4.3544945,21.3678950,0.3750564,0.2583923,-3.2194708
15.1200192,15.9217150,4.2042557,21.5675950,0.4297713,0.2905102,-2.8786411
15.0313463,16.1006954,4.0652229,21.7672950,0.4914849,0.3299498,-2.2900474
14.9310438,16.2733866,3.9511255,21.9669949,0.5627685,0.3858090,-1.8091016
14.8175367,16.4381590,3.8586056,22.1666949,0.6452689,0.4358615,-1.3726700
14.6905574,16.5918850,3.7868976,22.3663948,0.7371375,0.4821913,-0.9818022
14.5493487,16.7327800,3.7347639,22.5660948,0.8372474,0.5232056,-0.7299821
14.3937029,16.8586521,3.6955252,22.7657947,0.9451696,0.5523862,-0.5233464
14.2256143,16.9662577,3.6671354,22.9654947,1.0583806,0.5760260,-0.3459051
14.0469657,17.0535653,3.6482500,23.1651946,1.1747360,0.5951287,-0.3428876
13.8578560,17.1196986,3.6294323,23.3648946,1.2941943,0.6003391,-0.3457192
13.6621081,17.1626687,3.6103599,23.5645945,1.4152234,0.6038654,-0.3893031
13.4629915,17.1815885,3.5887617,23.7642945,1.5371538,0.6106879,-0.3175948
13.2634971,17.1760558,3.5710451,23.9639944,1.6604051,0.6224834,-0.2536973
13.0662789,17.1458356,3.5568296,24.1636944,1.7857476,0.6323592,-0.2536973
12.8741324,17.0911022,3.5425570,24.3633944,1.9094716,0.5816230,0.4491349
12.6903146,17.0159686,3.5677857,24.5630943,1.9957610,0.1979054,4.5583187
12.5103849,16.9338938,3.8144051,24.7627943,1.9955142,-0.0413941,-2.7416700
12.3301913,16.8493061,3.6680599,24.9624942,2.0402233,0.4108719,-1.8602483
12.1553889,16.7504297,3.5653444,25.1621942,2.1339225,0.5030543,-1.8386015
11.9942667,16.6370547,3.4608299,25.3618941,2.2347645,0.5251059,-1.9429503
11.8439225,16.5058794,3.3468387,25.5615941,2.3426282,0.5573174,-1.7471710
11.7080647,16.3573910,3.2409118,25.7612940,2.4605293,0.6153620,-1.2073679
11.5922269,16.1940803,3.1656416,25.9609940,2.5915268,0.6978738,-0.5958651
11.5006208,16.0171736,3.1278264,26.1606939,2.7385866,0.7768672,-0.1946303
11.4373867,15.8281155,3.1153753,26.3603939,2.9009041,0.8242695,-0.1946303
11.4057099,15.6309621,3.1028741,26.5600938,3.0625870,0.7920287,0.1814128
11.4050902,15.4329946,3.1145279,26.7597938,-3.0725103,0.6897446,1.1147570
11.4320549,15.2339414,3.1852029,26.9594938,-2.9451160,0.5729813,1.9833549
11.4808829,15.0415818,3.3072148,27.1591937,-2.8453831,0.4373489,2.9970843
11.5470271,14.8522965,3.4834903,27.3588937,-2.7695774,0.3126776,3.9624069
