2.550089522930280239e+00,2.095189067953013573e-01
2.996032729633360869e+00,2.434859507092236031e-01
3.482043894675461271e+00,2.578481336528576917e-01
3.679924660350780030e+00,2.731799106594868243e-01
4.167786038080326882e+00,2.325250436666821130e-01
4.597002551475196874e+00,5.541605282204917771e-01
4.963652105164482187e+00,9.166222247666502287e-01
5.168099250660876720e+00,8.155127198028641056e-01
5.825298129925205792e+00,1.234555885732096847e+00
6.291411966757095797e+00,1.542179951854812714e+00
6.724468814972301978e+00,1.795358446218241255e+00
7.167481128916969979e+00,2.038238539409664263e+00
7.597104300775942676e+00,2.303411798152769308e+00
8.043423524179800665e+00,2.540851532377585986e+00
8.464944047936034721e+00,2.818508381154915199e+00
8.835924597866718244e+00,3.162626457578908479e+00
9.321469548778317460e+00,3.285637068844911024e+00
9.747939290969796389e+00,3.564981207322833523e+00
1.009664164835995237e+01,3.968282279109030863e+00
1.036551998342551606e+01,4.399576255715688333e+00
1.042587481528952864e+01,4.899705543517028694e+00
1.018868912062756316e+01,5.354232876515091277e+00
9.722587925985628488e+00,5.535359510191875998e+00
9.233364165109797739e+00,5.654964674771619570e+00
8.734933672658399928e+00,5.568835369362108878e+00
8.278492536929734413e+00,5.358487461477559499e+00
7.842677436245161893e+00,5.101911779380389866e+00
7.357976486178495534e+00,4.958133253965914200e+00
6.870835833737762854e+00,4.827422698675309043e+00
6.414517993840898491e+00,4.610313469168762168e+00
5.969764147070842242e+00,4.370889930476975493e+00
5.528947637347704891e+00,4.123118201175747011e+00
5.066279570019335488e+00,3.925424393884785701e+00
4.604481766869811032e+00,3.709422561520459016e+00
4.232603711456757622e+00,3.375372525649765976e+00
3.978174647468303071e+00,2.934879463762179341e+00
3.731741805232923870e+00,2.495664015846876804e+00
3.428797295694260949e+00,2.084327385948531841e+00
3.005342564602437871e+00,1.850340768811114422e+00
2.498196296326282706e+00,1.752862346703783158e+00
2.031331348647003043e+00,1.525876988999456119e+00
1.787760029537340589e+00,1.089369821850694198e+00
1.866153846858177534e+00,5.771606378757372369e-01
2.203677826230595826e+00,2.011562648336005232e-01
